,c1_c0,c0_c2,c2_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[111.49940497   1.8116893 ],[118.49940495   1.81227389],[104.499405     1.81110471],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[111.49638367   1.81168771],[118.49638367   1.81227231],[104.49638367   1.81110311],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[111.48202515   1.81168664],[118.48202515   1.81227124],[104.48202515   1.81110203],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996833825881582,[111.44972229   1.81168675],[118.44972229   1.81227136],[104.44972229   1.81110215],[97.45288849  1.81051528]
4,7.000000024411422,7.000000024411422,6.994758630416915,[111.39665222   1.81168377],[118.39665222   1.81226838],[104.39665222   1.81109917],[97.40189362  1.81051421]
5,7.000000024411422,7.000000024411422,6.992599511325567,[111.32215881   1.81168008],[118.32215881   1.81226468],[104.32215881   1.81109548],[97.32955933  1.81051588]
6,7.000000024431338,7.0000000244014675,6.990379356876584,[111.22575378   1.81167555],[118.22575378   1.81226039],[104.22575378   1.81109107],[97.23537445  1.81051934]
7,7.0000000244512615,7.000000024411422,6.988159202272614,[111.10730743   1.81166911],[118.10730743   1.81225419],[104.10730743   1.81108451],[97.11914825  1.81052268]
8,7.000000024461227,7.000000024411422,6.985900900569122,[110.9666214    1.81166077],[117.9666214    1.81224597],[103.9666214    1.81107616],[96.98072052  1.81052601]
9,7.000007653855206,7.000000024431338,6.983596822388942,[110.80337524   1.81164992],[117.80338287   1.81223512],[103.80337524   1.81106508],[96.81977844  1.81052828]
10,7.000007653885097,7.000000024431338,6.981277485337058,[110.61728668   1.81163561],[117.61729431   1.81222117],[103.61728668   1.81105077],[96.63600922  1.81052876]
11,7.000007653915023,7.000000024441299,6.978935260020016,[110.40805817   1.81161749],[117.4080658    1.81220341],[103.40805817   1.81103253],[96.42912292  1.81052685]
12,7.000007653934997,7.0000000244512615,6.976562517095951,[110.17541504   1.81159496],[117.17542267   1.81218112],[103.17541504   1.81100988],[96.19885254  1.81052148]
13,7.00000765394498,7.000000024461227,6.974151627176528,[109.91906738   1.81156731],[116.91907501   1.81215358],[102.91906738   1.81098211],[95.94491577  1.81051195]
14,7.000007653965947,7.000000024461227,6.971740737256733,[109.63877869   1.81153369],[116.63878632   1.8121202 ],[102.63877869   1.81094849],[95.66703796  1.81049728]
15,7.000007653995921,7.000000024471193,6.96929170037935,[109.33425903   1.81149352],[116.33426666   1.81208038],[102.33425903   1.8109082 ],[95.36496735  1.81047654]
16,7.0000076540159135,7.000000024481162,6.966835034154038,[109.00528717   1.81144583],[116.0052948    1.81203294],[102.00528717   1.8108604 ],[95.03845215  1.81044841]
17,7.00000765403492,7.000000024481162,6.964340221024523,[108.65159607   1.81139028],[115.6516037    1.81197762],[101.65159607   1.81080484],[94.68725586  1.81041229]
