,c1_c2,c2_c0,c0_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[104.499405     1.81110471],[118.49940495   1.81227389],[111.49940497   1.8116893 ],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[104.49638367   1.81110311],[118.49638367   1.81227231],[111.49638367   1.81168771],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[104.48202515   1.81110203],[118.48202515   1.81227124],[111.48202515   1.81168664],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996482873465167,[104.44982147   1.81110227],[118.44982147   1.81227148],[111.44982147   1.81168687],[97.45333862  1.81051862]
4,7.000000024411422,7.000000024411422,6.99436953070235,[104.39674377   1.81110442],[118.39674377   1.81227362],[111.39674377   1.81168902],[97.40237427  1.81052661]
5,7.000000024411422,7.000000024411422,6.992111228388614,[104.32240295   1.81110168],[118.32240295   1.81227088],[111.32240295   1.81168628],[97.33029175  1.81054282]
6,7.000000024411422,7.000000024411422,6.989753743611154,[104.22624207   1.8110956 ],[118.22624207   1.8122648 ],[111.22624207   1.8116802 ],[97.23648834  1.8105607 ]
7,7.000000024411422,7.000000024411422,6.987403887927415,[104.10803986   1.81108737],[118.10803986   1.81225657],[111.10803986   1.81167197],[97.12063599  1.81058168]
8,7.000000024411422,7.000000024411422,6.985015885068066,[103.96760559   1.81107676],[117.96760559   1.81224597],[110.96760559   1.81166136],[96.98258972  1.81060505]
9,7.000000024411422,7.000000024411422,6.982604993914136,[103.80463409   1.81106353],[117.80463409   1.81223273],[110.80463409   1.81164813],[96.82202911  1.8106302 ]
10,7.000000024411422,7.000000024411422,6.980163585123367,[103.61881256   1.81104648],[117.61881256   1.81221569],[110.61881256   1.81163108],[96.63864899  1.81065631]
11,7.000000024411422,7.000000024411422,6.977699288219404,[103.4098587   1.8110255],[117.4098587    1.81219471],[110.4098587   1.8116101],[96.43215942  1.81068242]
12,7.000000024411422,7.000000024411422,6.9751968445285515,[103.17747498   1.81099975],[117.17747498   1.81216896],[110.17747498   1.81158435],[96.20227814  1.81070685]
13,7.000000024411422,7.000000024411422,6.972663883520124,[102.92140961   1.81096864],[116.92140961   1.81213784],[109.92140961   1.81155324],[95.94874573  1.81072879]
14,7.000000024411422,7.000000024411422,6.970108034679208,[102.64139557   1.81093144],[116.64139557   1.81210065],[109.64139557   1.81151605],[95.67128754  1.81074655]
15,7.000000024411422,7.000000024411422,6.967514039278098,[102.33716583   1.81088758],[116.33716583   1.81205678],[109.33716583   1.81147218],[95.36965179  1.81075871]
16,7.000000024411422,7.000000024411422,6.964912414931463,[102.00847626   1.81083655],[116.00847626   1.81200576],[109.00847626   1.81142116],[95.04356384  1.81076372]
17,7.000000024411422,7.000000024411422,6.96227264406505,[101.65506744   1.81077731],[115.65506744   1.81194651],[108.65506744   1.81136191],[94.6927948  1.8107599]
18,7.000000024411422,7.000000024411422,6.959617614836151,[101.27672577   1.81070971],[115.27672577   1.81187892],[108.27672577   1.81129432],[94.31710815  1.81074512]
19,7.000000024411422,7.000000024411422,6.956932068390115,[100.87320709   1.81063318],[114.87320709   1.81180239],[107.87320709   1.81121778],[93.91627502  1.81071818]
20,7.000000024411422,7.000000024411422,6.95423126341446,[100.44430542   1.81054795],[114.44430542   1.81171715],[107.44430542   1.81113255],[93.49007416  1.81067753]
21,7.000000024411422,7.000000024421181,6.95149994100568,[99.98979187  1.81045353],[113.98979187   1.81162286],[106.98979187   1.81103826],[93.03829193  1.81062198]
22,7.000000024411422,7.000000024401567,6.948760989196977,[99.50950623  1.81035054],[113.50950623   1.81151962],[106.50950623   1.81093502],[92.56074524  1.81055021]
23,7.000000024411422,7.00000002440188,6.9460678135975655,[99.00319672  1.81023967],[113.00319672   1.81140876],[106.00319672   1.81082416],[92.05712891  1.8104614 ]
