,c1_c2,c2_c0,c0_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[104.499405     1.81110471],[118.49940495   1.81227389],[111.49940497   1.8116893 ],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[104.49638367   1.81110311],[118.49638367   1.81227231],[111.49638367   1.81168771],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[104.48202515   1.81110203],[118.48202515   1.81227124],[111.48202515   1.81168664],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996482873465167,[104.44982147   1.81110227],[118.44982147   1.81227148],[111.44982147   1.81168687],[97.45333862  1.81051862]
4,7.000000024411422,7.000000024411422,6.99436953070235,[104.39674377   1.81110442],[118.39674377   1.81227362],[111.39674377   1.81168902],[97.40237427  1.81052661]
5,7.000000024411422,7.000000024411422,6.992057822645345,[104.32235718   1.81110191],[118.32235718   1.81227112],[111.32235718   1.81168652],[97.33029938  1.81054282]
6,7.000000024411422,7.000000024411422,6.9897155966747615,[104.22621918   1.81109607],[118.22621918   1.81226528],[111.22621918   1.81168067],[97.2365036  1.8105607]
7,7.000000024411422,7.000000024411422,6.987358111611721,[104.10801697   1.81108809],[118.10801697   1.81225729],[111.10801697   1.81167269],[97.12065887  1.81058168]
8,7.000000024411422,7.000000024411422,6.984977738160022,[103.96759033   1.81107771],[117.96759033   1.81224692],[110.96759033   1.81166232],[96.98261261  1.81060505]
9,7.000000024411422,7.000000024411422,6.982574476403275,[103.80462646   1.8110646 ],[117.80462646   1.81223381],[110.80462646   1.8116492 ],[96.822052   1.8106302]
10,7.000000024411422,7.000000024411422,6.9801254382381215,[103.61880493   1.81104803],[117.61880493   1.81221724],[110.61880493   1.81163263],[96.6386795   1.81065631]
11,7.000000024411422,7.000000024411422,6.977645882546426,[103.40985107   1.81102729],[117.40985107   1.81219649],[110.40985107   1.81161189],[96.4322052   1.81068242]
12,7.000000024411422,7.000000024411422,6.975135809467279,[103.17746735   1.81100202],[117.17746735   1.81217122],[110.17746735   1.81158662],[96.20233154  1.81070685]
13,7.000000024411422,7.000000024411422,6.972602848454675,[102.92140961   1.81097126],[116.92140961   1.81214046],[109.92140961   1.81155586],[95.94880676  1.81072879]
14,7.000000024411422,7.000000024411422,6.970046999602715,[102.64139557   1.81093442],[116.64139557   1.81210363],[109.64139557   1.81151903],[95.67134857  1.81074655]
15,7.000000024411422,7.000000024411422,6.967453004181578,[102.33717346   1.81089091],[116.33717346   1.81206012],[109.33717346   1.81147552],[95.36972046  1.81075883]
16,7.000000024411422,7.000000024411422,6.964851379812057,[102.00849152   1.81084013],[116.00849152   1.81200933],[109.00849152   1.81142473],[95.04364014  1.81076384]
17,7.000000024411422,7.000000024411422,6.962203979524836,[101.6550827    1.81078136],[115.6550827    1.81195056],[108.6550827    1.81136596],[94.69287872  1.81076014]
18,7.000000024411422,7.000000024411422,6.959533691476826,[101.27674103   1.81071413],[115.27674103   1.81188333],[108.27674103   1.81129873],[94.31720734  1.81074548]
19,7.000000024411422,7.000000024411422,6.956848145001896,[100.87322235   1.81063783],[114.87322235   1.81180704],[107.87322235   1.81122243],[93.91637421  1.81071877]
20,7.000000024411422,7.000000024411422,6.954147340000118,[100.44432068   1.8105526 ],[114.44432068   1.8117218 ],[107.44432068   1.8111372 ],[93.49017334  1.81067812]
21,7.000000024411422,7.00000002441111,6.951416017568772,[99.98980713  1.81045818],[113.98980713   1.81162739],[106.98980713   1.81104279],[93.03839111  1.81062257]
22,7.000000024411422,7.000000024411124,6.948646548167097,[99.50948334  1.81035507],[113.50948334   1.81152427],[106.50948334   1.81093967],[92.56083679  1.81055081]
23,7.000000024411422,7.000000024410925,6.945961001953499,[99.0031662   1.81024408],[113.0031662    1.81141329],[106.0031662    1.81082869],[92.0572052  1.810462 ]
